Subject,Condition,User ID,ManipulationText,FD1,SD2,UP3,FW4,FD5,SD6,UP7,FW8,FD9,SD10,UP11,FW12,FD13,SD14,UP15,FW16,FD17,SD18,UP19,UP20,FW21,SD22,FW23,SD24,UP25,FW26,UP27,FD,SD,UP,FW,TFAD1_3,PANAS_1,PANAS_2,PANAS_3,PANAS_4,PANAS_5,PANAS_6,PANAS_7,PANAS_8,PANAS_9,PANAS_10,PANAS_11,PANAS_12,PANAS_13,PANAS_14,PANAS_15,PANAS_16,PANAS_17,PANAS_18,PANAS_19,PANAS_20,Q37_3,1aAns,T1a_3,1bAns,T1b_3,1cAns,T1c_3,2aAns,T2a_3,2bAns,T2b_3,2cAns,T2c_3,3aAns,T3a_3,3bAns,T3b_3,3cAns,T3c_3,4aAns,T4a_3,4bAns,T4b_3,4cAns,T4c_3,5aAns,T5a_3,5bAns,T5b_3,5cAns,T5c_3,6aAns,T6a_3,6bAns,T6b_3,6cAns,T6c_3,7aAns,T7a_3,7bAns,T7b_3,7cAns,T7c_3,8aAns,T8a_3,8bAns,T8b_3,8cAns,T8c_3,9aAns,T9a_3,9bAns,T9b_3,9cAns,T9c_3,10aAns,T10a_3,10bAns,T10b_3,10cAns,T10c_3,11aAns,T11a_3,11bAns,T11b_3,11cAns,T11c_3,12aAns,T12a_3,12bAns,T12b_3,12cAns,T12c_3,13aAns,T13a_3,13bAns,T13b_3,13cAns,T13c_3,14aAns,T14a_3,14bAns,T14b_3,14cAns,T14c_3,15aAns,T15a_3,15bAns,T15b_3,15cAns,T15c_3,16aAns,T16a_3,16bAns,T16b_3,16cAns,T16c_3,17aAns,T17a_3,17bAns,T17b_3,17cAns,T17c_3,18aAns,T18a_3,18bAns,T18b_3,18cAns,T18c_3,19aAns,T19a_3,19bAns,T19b_3,19cAns,T19c_3,20aAns,T20a_3,20bAns,T20b_3,20cAns,T20c_3,Purpose,Environ,Monitor,Monitor_TEXT,Browser,Browser_TEXT,Gender,Age,Edu,L1,Country,Comments
38,1,AVX3SWFMBEPMZ,"71,639",1,4,3,4,1,4,5,5,1,4,4,4,2,4,4,4,1,4,4,1,4,3,4,2,1,4,4,6,25,26,29,"126,838",2,1,1,1,2,1,1,1,2,3,1,2,1,2,1,2,2,1,2,1,"42,303",,"10,156",9,"40,196",,,,"10,005",3,"23,989",,,,"10,009",10,"4,259",,,,"10,035",10,"4,836",,,,"10,016",6,"2,793",,,,"9,998",43,4.86,,,,10.09,9,"2,206",,,,"10,018",30,"4,213",,,,"10,095",27,"2,824",,,,10.12,-11,"6,274",,,,0.974,,,41,"18,675",,0.752,,,9,"15,146",,0.859,,,13,"15,526",,"2,006",13,"16,336",,,,"1,341",,,-7,"15,995",,"1,138",,,-34,"14,985",,"1,795",,,42,"17,903",,"2,022",32,"16,608",,,,"1,236",,,3,13.58,,0.951,,,34,"15,313",I have no idea. ,1,1,,2,,1,40,5,English,USA,
39,1,A1YURG2FMHHV7I,"90,792",3,1,1,3,2,1,5,5,3,1,1,2,3,1,5,5,4,1,1,1,3,1,5,1,1,4,3,15,7,18,27,"59,435",3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,4,1,1,1,"35,308",,0.463,,,13,"43,626",,"10,005",3,"18,571",,,,0.76,,,10,"22,922",,"2,488",,,24,"28,048",,0.4,,,6,"13,923",,0.385,,,43,"90,455",,0.484,,,18,"40,424",,"1,253",,,28,"47,823",,0.435,,,52,"45,383",,0.82,,,6,48.16,,0.446,,,41,"32,714",,0.888,,,11,"28,474",,0.383,,,-6,"25,732",,0.327,,,-6,"37,271",,0.486,,,-7,"22,505",,0.425,,,-34,"44,145",,0.477,,,53,"28,926",,0.446,,,32,"22,104",,0.362,,,3,"20,582",,0.361,,,34,"37,683",Whether we would honestly answer the questions or wait for the answer?,1,2,,2,,2,20s,6,english,us,
40,1,AWGZLKETP576N,"251,936",1,3,4,5,1,3,5,5,1,3,5,4,4,3,5,4,1,2,4,4,5,4,4,4,4,4,5,8,22,36,31,"132,153",3,3,1,4,1,4,2,2,1,1,2,3,3,1,3,3,3,3,1,2,"67,882",,"1,122",,,9,"181,183",,0.786,,,3,"41,637",,0.781,,,10,"141,284",,0.75,,,10,"27,171",,0.784,,,6,"26,703",,0.651,,,43,"23,219",,0.808,,,9,"30,623",,0.796,,,30,"26,403",,0.806,,,27,"24,667",,0.693,,,-11,"50,684",,"1,375",,,41,"26,687",,0.687,,,23,"17,113",,0.588,,,13,"26,835",,0.724,,,-6,"24,402",,0.788,,,-7,"24,526",,0.702,,,-34,"21,617",,0.81,,,42,"19,414",,0.643,,,32,"20,329",,0.764,,,3,"19,874",,0.68,,,34,"21,587",to see if religious people cheat on math problems?,1,1,,4,,2,33,6,English,United States,
41,1,A3TSV43DP4AMM1,"291,574",2,5,2,4,2,2,4,4,2,3,4,4,4,3,4,4,2,3,2,2,2,4,3,2,2,3,4,12,22,24,24,"233,141",4,1,3,1,3,1,1,1,4,3,1,4,1,4,1,2,4,1,2,1,"65,431",,0.624,,,9,"112,109",,"1,463",,,3,"36,706",,0.358,,,10,"26,095",,0.377,,,10,"31,273",,0.382,,,6,"22,519",,0.379,,,43,"26,943",,0.39,,,9,"27,954",,0.351,,,30,"26,158",,0.632,,,27,"52,171",,0.394,,,-11,"83,773",,"2,005",41,34.07,,,,0.398,,,8,"53,437",,0.401,,,11,29.34,,0.239,,,-6,"33,507",,0.341,,,-7,"44,264",,0.421,,,-34,"47,842",,0.371,,,42,"22,036",,0.359,,,32,"25,766",,0.375,,,3,"47,598",,0.348,,,34,"25,723", memory after forcing the mind to work on other tasks,1,1,,4,,2,43,6,english,usa,
42,1,AGBF974GG3GD0,"250,356",3,4,4,2,3,2,5,3,3,4,4,2,5,5,4,3,5,4,3,5,3,4,3,4,5,4,5,19,27,35,20,"145,591",4,1,3,1,4,1,1,1,4,4,1,3,1,4,1,2,4,1,3,1,"318,354",,"2,018",,,10,"20,721",,"10,007",3,"7,884",,,,"3,997",,,10,"26,429",,0.636,,,10,"34,326",,1.07,,,6,"57,558",,"1,509",,,45,"30,238",,0.936,,,17,"46,051",,"10,007",30,"27,739",,,,"1,897",,,23,"27,501",,0.664,,,-5,"30,913",,"2,013",61,"7,568",,,,"2,013",6,"40,437",,,,"2,011",13,"6,216",,,,"2,011",24,"3,501",,,,"2,012",-7,"50,373",,,,"2,012",-34,"21,058",,,,"2,013",42,"33,171",,, ,"2,013",32,"6,271",,,,1.06,,,3,"5,787",,"2,013",34,"4,546",,,to see if you do the math or use the answer given?,1,2,,3,,2,45,4,english,usa,
43,1,A69KEZJP0BY6B,"232,895",1,4,5,3,1,2,5,2,1,4,5,1,2,4,4,2,1,3,5,3,3,1,1,1,5,2,5,6,19,37,14,"148,576",4,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,5,1,1,1,"39,611",,1.22,,,9,"63,956",,0.809,,,3,"34,173",,"1,011",,,10,28.91,,"1,818",,,10,"34,792",,0.691,,,6,"34,023",,"1,635",,,43,"41,113",,"10,001",9,"23,188",,,,"10,001",30,"28,645",,,,0.581,,,27,"30,434",,1.62,,,-11,"31,002",,0.534,,,43,"35,429",,0.378,,,4,"24,714",,"2,001",13,"16,698",,,,0.547,,,-6,"35,596",,0.884,,,-7,"23,825",,0.462,,,-52,"26,507",,1.3,,,42,"29,885",,0.54,,,32,"27,168",,0.511,,,0,"27,271",,"1,019",,,34,"26,665",Math skills,9,1,,4,,1,31,7,English,USA,
44,1,A3W5CPVTONIGVI,"169,951",3,4,3,2,2,2,5,3,2,3,4,3,3,3,4,3,3,5,3,4,3,3,1,3,3,1,3,13,23,29,16,"162,295",4,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,4,1,1,1,57.7,,0.713,,,9,"23,791",,0.47,,,3,"32,596",,0.386,,,10,"13,865",,0.368,,,10,"16,848",,0.351,,,7,"12,615",,0.394,,,43,"32,509",,0.35,,,9,"27,925",,0.332,,,30,"35,238",,0.342,,,27,"19,551",,0.448,,,-11,"31,234",,0.85,,,41,"22,321",,0.362,,,9,"44,382",,0.312,,,13,"29,925",,0.721,,,2,"26,737",,0.366,,,-21,"30,522",,0.407,,,-34,"25,344",,0.659,,,41,"27,808",,0.309,,,32,"20,512",,0.333,,,3,"29,818",,0.337,,,34,"19,761",How beliefs about free will relate to choosing whether one looks at the provided arithmetic answers,4,2,,1,,2,30,6,English,USA,Guessed purpose correctly.
45,1,A1R8A1ZKR80MRA,"56,265",3,1,1,1,1,1,2,4,3,1,1,4,1,1,5,4,5,1,1,1,4,5,2,5,1,4,1,13,15,13,23,"83,165",5,1,5,1,5,1,1,1,5,5,1,5,1,5,1,5,5,1,5,1,"69,515",,"10,009",9,"4,383",,,,"2,649",,,3,"21,664",,"1,335",,,10,"14,284",,"1,916",,,10,18.8,,0.455,,,6,"12,243",,"1,016",,,43,"22,589",,0.618,,,9,"19,484",,0.446,,,30,"16,383",,0.709,,,27,"15,207",,0.624,,,-11,21.71,,0.724,,,41,"16,593",,0.696,,,9,"23,446",,0.604,,,13,"12,318",,0.474,,,-6,18.62,,0.647,,,-7,"15,742",,0.743,,,-34,"19,222",,"1,369",,,41,"24,334",,1.31,,,32,"12,934",,"1,211",,,3,"12,879",,0.556,,,34,"12,093",to see if I have integrity or if i wanted to cheat,1,5,Mac desktop,2,,2,44,6,English,USA,
46,1,A2QQKVIN9R45N6,"170,043",2,4,4,4,1,1,5,5,2,2,4,4,3,4,5,5,4,2,5,3,3,4,4,1,4,4,5,12,18,35,29,"151,044",4,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,"69,771",,0.315,,,9,"18,478",,0.521,,,3,"28,737",,0.012,,,10,"26,529",,0.363,,,10,"22,838",,"1,238",,,6,"35,727",,0.363,,,43,"50,239",,0.497,,,9,"32,157",,0.52,,,30,"32,008",,0.445,,,27,"23,037",,0.818,,,-11,"28,422",,0.426,,,41,23.42,,0.458,,,9,"23,858",,0.422,,,13,"23,707",,0.43,,,4,"21,789",,0.422,,,-7,"26,854",,0.754,,,-18,"61,681",,0.684,,,42,"23,991",,"1,186",,,32,22.05,,0.45,,,3,"23,587",,0.574,,,34,"23,906",how quickly you can think,1,2,,2,,2,31,4,English,USA,
47,1,A2YFPO0N4GIS25,"140,317",2,5,5,2,4,4,5,3,2,5,5,3,4,5,3,4,2,4,4,5,2,5,4,5,5,4,2,14,33,34,22,"86,824",4,1,3,1,3,1,1,1,3,2,1,5,1,4,1,3,5,1,4,1,"37,515",,0.414,,,11,"13,844",,0.428,,,3,"19,152",,0.356,,,10,"15,761",,0.313,,,10,"12,609",,0.165,,,6,"11,029",,0.238,,,43,"16,332",,0.165,,,9,"19,839",,0.242,,,29,"17,918",,0.261,,,27,"15,531",,0.183,,,-9,"18,555",,0.133,,,41,"18,958",,0.909,,,9,"19,857",,0.123,,,13,"13,761",,0.145,,,-6,"23,904",,0.134,,,-7,"12,629",,0.09,,,-34,"13,644",,0.093,,,42,"10,658",,0.256,,,32,"10,915",,0.627,,,3,"14,935",,0.404,,,34,"15,596","Ability to think logically after reading an article about thinking about human nature in cold, logical terms",1,2,,4,,1,23,4,English,United States,
48,1,A1AQ2YEDWRXB2E,"264,034",3,4,3,2,2,3,2,4,2,3,5,4,2,4,4,4,3,4,3,3,2,4,4,3,2,4,3,12,25,25,24,"116,355",4,2,2,1,1,1,1,1,2,2,1,3,1,4,1,2,4,1,2,1,"72,697",,0.549,,,9,"41,272",,0.384,,,3,"42,789",,0.357,,,13,"60,478",,0.474,,,10,"58,823",,0.358,,,6,"25,445",,0.401,,,43,"52,018",,0.462,,,9,"81,463",,0.895,,,30,"37,385",,0.371,,,27,"75,876",,0.557,,,-11,54.86,,0.381,,,41,"39,592",,0.401,,,9,"29,559",,0.33,,,13,"49,263",,0.372,,,-6,"45,646",,0.432,,,-7,58.68,,0.374,,,-34,"53,042",,0.386,,,42,"57,689",,0.424,,,34,"60,256",,0.413,,,3,"47,425",,0.536,,,34,"47,283",to make me feel incredibly slow at math. ,1,2,,4,,2,22,6,English,United States,
49,1,A1BQCRF5Q76YFY,"108,455",4,2,3,5,5,1,5,5,5,2,2,5,4,4,4,5,3,5,3,1,5,2,5,2,2,5,5,21,18,25,35,"100,555",4,1,2,1,5,1,1,1,2,2,1,5,1,3,1,5,5,1,2,1,110.32,,"2,838",,,9,57.92,,2.87,,,6,57.67,,"5,154",,,10,"37,014",,0.749,,,1,"37,935",,1.1,,,6,"29,435",,0.503,,,43,"45,073",,0.438,,,9,"35,338",,0.445,,,30,"22,331",,0.554,,,61,"25,083",,0.498,,,-12,"45,029",,0.34,,,41,242.98,,0.435,,,16,58.22,,"1,014",,,13,"24,847",,0.391,,,-6,"21,768",,0.488,,,-7,"19,256",,0.606,,,-32,"75,288",,"2,003",42,"4,938",,,,"1,944",32,15.15,,,,"1,481",,,3,4.95,,"1,414",,,34,"29,409",math problems,1,1,,4,,2,33,3,English,USA,
50,1,A3O9ZC3379JNH7,"207,680",1,2,4,1,1,1,3,2,1,1,3,2,1,1,5,3,1,1,1,5,4,1,2,3,2,2,2,5,10,25,16,125.02,3,1,1,1,2,1,1,3,1,2,2,2,1,1,1,2,2,1,1,1,"69,139",,0.775,,,9,38.18,,0.652,,,3,"74,444",,"1,492",,,10,"25,749",,0.806,,,10,"42,729",,"10,012",6,52.49,,,,0.698,,,42,"56,621",,0.682,,,19,"81,146",,0.499,,,30,"57,014",,0.607,,,27,"37,503",,0.591,,,45,49.14,,0.903,,,39,"36,957",,0.729,,,5,"69,697",,0.521,,,18,"76,176",,0.594,,,-6,"34,766",,0.432,,,-7,"44,146",,"2,013",-34,"6,078",,,,0.881,,,42,"23,085",,0.69,,,32,"36,093",,0.505,,,3,"22,881",,0.506,,,34,"28,257","Whether or not people let the answer come up, because god knows I hope you aren't running a scientific survey with an ACTUAL bug like that.",1,2,,3,,2,25,7,English,USA,
51,1,A1JN34I58X1CDP,"133,954",2,3,1,2,2,1,5,5,2,3,4,3,2,3,4,5,1,2,2,3,2,3,3,3,2,2,3,9,18,24,22,"136,412",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,"50,306",,0.317,,,-43,"27,051",,0.37,,,15,"30,051",,"1,117",,,10,"25,374",,0.324,,,11,"15,709",,0.38,,,6,"52,576",,0.33,,,43,"19,047",,0.336,,,-1,"22,058",,0.49,,,30,"26,175",,0.568,,,27,"24,296",,0.343,,,-11,"15,943",,0.317,,,41,"18,001",,0.376,,,11,"17,466",,0.386,,,13,"18,511",,"2,004",-6,33.31,,,,0.442,,,-17,34.31,,0.36,,,-102,"34,911",,0.359,,,-46,"82,222",,0.423,,,-18,"96,084",,0.467,,,-43,"21,242",,0.462,,,38,"40,383",I would think it is more an ethics test than a math one. Though I realized during some I stopped using BEDMAS while trying to hurry.,1,2,,4,,1,25,5,English,United States of America,
52,1,AW6UIL04MLQ9N,"132,503",2,4,2,5,1,2,4,4,2,3,4,2,2,3,4,4,2,4,3,4,4,3,4,3,4,3,4,9,22,29,26,100.15,3,1,2,1,1,1,1,1,2,1,1,4,1,2,1,3,3,1,2,1,"40,825",,0.445,,,19,"16,333",,0.392,,,3,"22,195",,0.356,,,10,"20,825",,0.349,,,10,"17,911",,0.337,,,6,"10,498",,0.337,,,55,19.83,,0.339,,,9,"21,889",,0.303,,,30,"20,332",,0.335,,,27,"23,334",,0.342,,,-11,"26,888",,0.476,,,41,"18,177",,0.348,,,9,"35,111",,0.382,,,13,"18,558",,0.321,,,-6,"19,913",,0.333,,,-7,"19,063",,0.416,,,-34,"44,403",,0.549,,,42,"37,071",,0.404,,,32,"22,626",,0.401,,,3,"22,308",,0.411,,,34,"18,434",Following directions and seeing how that affects math problems.,1,1,,2,,1,24,6,english,usa,
53,1,A2ECY029TTAJBG,"94,429",1,4,3,5,1,5,4,4,1,2,3,4,4,4,4,3,1,4,4,1,4,4,3,4,3,3,5,8,27,27,26,"102,784",4,1,2,1,1,1,1,1,3,3,1,4,1,3,1,3,4,1,2,1,"37,561",,0.509,,,9,"4,047",,"10,001",3,"18,616",,,,0.587,,,10,"20,547",,"10,003",10,"1,534",,,,"1,196",,,6,"16,663",,"1,381",,,43,"27,561",,"1,308",,,9,25.61,,"10,003",30,"2,212",,,,"1,288",,,17,"17,333",,"3,039",,,1,"19,356",,0.459,,,41,29.37,,"1,913",9,"4,771",,,,"1,331",,,13,"24,184",,"1,263",,,-6,"25,006",,0.96,,,-7,"23,987",,"1,031",,,-34,"28,912",,"2,004",42,"2,761",,,,"1,403",,,32,"5,333",,"1,826",3,"27,317",,,,0.587,,,34,20.54,Something to do with cheating on the math problems by waiting for the answer to show up.,2,2,,4,,1,20,3,English,United States of America,
54,1,A3Q5YG3X67WHFD,"101,182",1,5,5,5,1,4,5,5,1,3,4,4,1,4,5,5,1,3,5,5,5,3,5,2,3,3,5,5,24,37,32,"81,765",4,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,3,1,3,1,"39,281",,0.759,,,9,"13,032",,0.613,,,3,"51,098",,"1,436",,,10,"15,336",,"1,062",,,10,"16,478",,1.33,,,4,"10,352",,0.456,,,43,"15,112",,0.549,,,9,"17,502",,0.533,,,30,"13,224",,0.618,,,27,"15,039",,0.568,,,-21,"36,332",,"2,001",41,"6,481",,,,"2,002",9,"1,518",,,,"2,001",13,"1,568",,,,"2,001",-6,"1,928",,,,"2,005",-7,"1,664",,,,"2,001",-34,"1,954",,,,"2,001",42,"1,615",,,,"2,001",32,"1,509",,,,"2,002",3,"1,476",,,,"2,002",34,"1,668",,,"To see if I'm a dirty cheater, and yes, at 8:03 AM I am a dirty cheater.  I hope you all feel proud.",1,1,,4,,1,34,5,English,USA,
55,1,A1R6AQHA5H0KHI,"138,645",2,4,4,2,2,1,5,3,2,4,4,4,2,4,4,3,2,4,4,4,1,4,2,2,4,4,5,10,23,34,19,116.13,4,1,4,1,1,1,1,1,4,3,1,5,1,2,1,3,5,1,2,1,"60,634",,0.833,,,9,"19,722",,"1,433",,,15,50.86,,0.568,,,10,"16,485",,0.558,,,10,"25,463",,0.695,,,6,"37,784",,0.509,,,43,26.34,,0.681,,,9,"18,732",,"1,005",,,30,"19,401",,0.549,,,27,"22,076",,0.516,,,-11,"28,684",,0.721,,,41,"20,459",,0.567,,,9,"25,755",,0.461,,,28,"21,988",,0.386,,,-6,"21,873",,0.59,,,-7,"23,996",,0.435,,,-34,"20,747",,0.535,,,42,"21,546",,0.635,,,32,"18,725",,"2,005",3,28.92,,,,0.571,,,34,"28,948","The study is about whether people will be morally responsible and not cheat, or take the easy route.",1,2,,2,,1,21,4,English,United States,
56,1,A1CW2Z8GFMMY0C,"151,540",1,4,3,4,2,3,5,5,1,4,4,4,2,4,4,4,1,3,4,1,3,3,4,4,3,4,4,7,25,28,28,"77,257",1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,3,1,1,"36,799", ,"10,002",9,"7,824",,,,"10,001",3,"13,591",,,,"5,839",,,44,"66,348",,"10,001",10,"5,052",,,,"10,001",6,"6,996",,,,"10,002",43,"2,871",,,,10,9,"2,611",,,,"9,999",30,"11,415",,,,"10,002",27,"11,215",,,,"10,002",-11,5,,,,"2,001",41,"28,395",,,,"2,003",9,"7,002",,,,"2,001",13,"23,293",,,,"2,001",-6,"19,198",,,,"2,002",-7,"24,581",,,,"2,001",-34,"34,172",,,,"2,001",42,"9,395",,,,"2,001",32,"19,748",,,,"2,002",3,"21,981",,,,"2,002",34,35.3,,,Not sure at all,1,2,,4,,1,21,4,English,US,
57,1, A3TOX3HFIX5UY6,"185,278",3,4,4,4,2,2,4,4,4,4,5,5,2,4,4,4,4,3,4,4,4,3,4,4,3,2,4,15,24,32,27,"127,284",4,1,2,1,1,1,2,1,2,1,1,4,1,1,2,2,3,1,1,1,"98,369",,0.525,,,9,"55,033",,"2,995",,,3,"71,823",,"1,184",,,10,"40,836",,0.9,,,10,"7,009",,"1,735",,,6,"28,388",,"1,352",,,43,"21,707",,0.544,,,9,"21,462",,0.697,,,30,"22,278",,0.573,,,27,"24,307",,0.549,,,-11,"54,624",,"2,001",41,"7,033",,,,0.379,,,9,"19,403",,"2,002",13,"25,393",,,,0.735,,,-6,"26,765",,0.493,,,-7,"21,733",,"2,001",-34,"3,149",,,,1.61,,,42,"22,891",,0.944,,,32,23.5,,"2,003",3,"22,304",,,,"2,001",34,"17,533",,,whether or not I chose to press the spacebar,1,2,,4,,2,34,4,English,USA,
58,1,A2ASW4THRF5BW5,"91,563",2,3,3,4,2,2,4,4,2,2,4,3,3,4,4,4,3,2,3,3,3,3,3,4,4,4,5,12,20,30,25,"100,369",3,1,2,1,2,1,1,1,2,2,2,3,1,2,1,2,4,1,2,1,"72,997",,"10,002",9,"88,832",,,,"1,884",,,3,"112,954",,"1,297",,,10,"37,195",,"1,287",,,10,"38,876",,"10,002",6,"22,963",,,,"1,568",,,43,"37,917",,"1,346",,,9,"31,849",,"2,545",,,30,"37,238",,0.665,,,27,"27,537",,"3,236",,,11,"28,449",,0.605,,,41,"27,321",,0.898,,,9,"27,584",,0.927,,,13,"61,292",,0.996,,,-6,39.26,,0.631,,,-7,"36,697",,0.969,,,-4,"41,378",,"1,002",,,42,115.35,,"2,025",32,"37,163",,,,0.964,,,3,"8,632",,"2,001",34,"6,153",,,HONESTY,1,1,,4,,2,47,3,English,United States,
59,1,A136X0MOFOMA4W,"108,952",1,4,2,3,2,3,3,5,2,3,4,4,2,3,4,5,2,2,3,3,3,4,5,4,2,4,5,9,23,26,29,"86,953",4,1,3,1,2,1,1,1,3,2,1,4,1,4,2,3,3,1,2,1,"32,156",,0.575,,,9,"19,908",,0.638,,,3,"14,454",,0.846,,,10,"13,546",,0.611,,,10,"15,058",,0.821,,,6,"11,493",,0.746,,,43,"12,148",,0.575,,,9,"15,809",,0.691,,,30,"21,781",,0.557,,,27,"11,565",,0.771,,,-11,"18,916",,0.551,,,41,"11,263",,0.635,,,9,"10,512",,0.641,,,13,"12,237",,"2,005",-6,"4,206",,,,0.752,,,-17,4.41,,0.469,,,-34,"27,735",,0.646,,,42,"9,793",,"1,351",,,32,"21,075",,0.705,,,3,"15,216",,"1,298",,,34,"12,516",To see if people would knowingly cheat or do the moral thing.,1,1,,4,,1,27,4,English,United States,
60,1,A3JML0FH7XP92N,"192,365",1,4,3,1,1,1,4,3,1,3,2,2,1,1,3,1,2,2,1,3,4,3,1,2,3,1,4,6,16,23,13,"155,802",5,1,2,1,3,2,1,1,2,3,1,5,2,2,2,3,5,1,2,1,"54,283",,0.382,,,9,"68,223",,0.807,,,3,"57,579",,"1,979",,,10,"21,951",,0.318,,,10,"26,933",,"1,043",,,6,"28,583",,0.443,,,43,"41,414",,0.395,,,9,"34,923",,0.348,,,30,"30,026",,0.336,,,27,"29,671",,0.308,,,-11,"66,294",,0.471,,,41,"66,916",,0.403,,,9,"27,722",,0.367,,,13,"21,485",,0.314,,,-6,"30,317",,0.329,,,-7,"32,299",,0.316,,,-34,"40,981",,0.338,,,42,"26,731",,0.336,,,32,"26,123",,0.352,,,3,"27,286",,0.357,,,11,37.28,"Probably if people will cheat and look at the answers. Also, I accidentally miskeyed the last question--I typed 11 but meant to type 44.",1,1,,4,,1,36,7,English,United States,
61,1,A2AYPPLTK9KDSY,"169,921",3,3,2,5,1,1,3,5,3,3,3,5,3,3,2,4,5,3,3,3,5,4,5,3,2,5,5,15,20,23,34,109.17,5,1,5,1,5,1,1,1,4,5,1,4,1,5,1,5,5,1,4,1,"43,838",,"1,032",,,13,"5,325",,"2,309",,,3,"17,201",,0.503,,,20,11.32,,"1,246",,,10,"22,047",,0.88,,,6,"9,883",,0.585,,,35,"20,796",,"1,042",,,26,"23,853",,0.896,,,30,"15,736",,0.516,,,27,"14,074",,"1,153",,,-11,"19,534",,0.879,,,41,"14,647",,0.571,,,9,"19,003",,0.791,,,13,"17,216",,0.975,,,-6,"21,566",,0.744,,,3,"12,917",,"1,467",,,-34,"20,692",,0.552,,,42,"9,977",,0.636,,,32,"15,193",,0.519,,,3,"14,761",,0.508,,,38,"8,666",Not sure,1,1,,2,,1,27,4,English,USA,
62,1,A2G61ZGGTUL916,"124,380",4,3,3,4,2,4,3,3,5,3,5,4,3,4,5,4,5,3,3,4,5,2,4,2,4,2,3,19,21,30,26,97.92,3,3,1,1,4,1,1,1,2,4,1,2,1,2,1,5,3,1,2,1,"62,623",,0.367,,,9,"50,168",,0.444,,,7,"7,632",,"6,944",,,4,"23,557",,0.543,,,5,"17,563",,0.39,,,6,"17,282",,"1,439",,,14,"9,185",,"1,444",,,4,"5,647",,"7,529",,,21,"24,031",,"1,182",,,61,"48,957",,0.532,,,3,"8,136",,0.359,,,7,"5,461",,0.311,,,3,21.32,,0.449,,,8,"11,185",,0.35,,,15,"19,237",,0.496,,,3,"10,583",,0.483,,,-3,"24,608",,0.451,,,5,"5,661",,0.359,,,32,"26,744",,0.45,,,2,"6,557",,0.47,,,9,"20,215",if people are honest enough to actually press the spacebar.,5,2,,4,,2,20,4,english,united states,
63,1,A2H8VMF0FQIFUM,"112,062",3,5,5,3,2,2,4,3,1,2,2,4,1,4,3,1,2,3,3,3,3,4,5,3,2,4,5,9,23,27,23,"14,131",4,2,2,1,3,1,1,1,2,1,2,4,1,3,1,3,4,1,3,1,48.15,,0.676,,,24,"36,816",,"1,412",,,3,"50,395",,"9,999",10,"43,346",,,,1.46,,,10,"29,006",,10,6,"14,082",,,,0.795,,,43,"37,619",,"10,001",9,"18,583",,,,0.921,,,30,"31,358",,"10,001",27,15.81,,,,0.839,,,-11,"27,947",,0.435,,,41,"22,896",,0.279,,,9,"11,341",,2,13,11.45,,,,0.838,,,-6,"8,968",,0.581,,,-7,10.71,,2,-34,"14,115",,,,"1,039",,,42,"8,469",,2,32,"4,005",,,,"1,133",,,3,"7,545",,"2,001",34,"13,516",,,I believe this study is about testing reading comprehension and basic math in the population,2,2,,4,,1,18,4,English,United States,
64,1,A2IABMFE5FYDFD,"145,168",1,5,2,4,2,4,4,5,1,2,2,4,1,4,4,4,1,4,2,2,3,4,4,4,2,2,3,6,27,21,26,"106,048",3,1,2,1,1,1,1,1,2,1,3,4,1,2,1,3,4,2,1,1,"43,529",,0.856,,,9,"36,766",,0.519,,,3,"93,978",,1.66,,,10,"18,699",,0.383,,,10,"20,674",,0.368,,,6,"12,109",,0.366,,,43,"31,074",,0.379,,,9,"20,785",,0.382,,,30,"16,757",,0.523,,,27,"23,464",,0.346,,,-11,"24,959",,0.478,,,41,"21,991",,0.352,,,9,"18,275",,0.426,,,13,"17,462",,0.371,,,-6,"15,398",,0.371,,,-7,"18,002",,0.413,,,-34,42.6,,0.428,,,42,"14,617",,0.312,,,32,"15,492",,0.303,,,3,"20,851",,0.352,,,34,"18,052",How the reading on fate v. free will might have influenced the ability to solve arithmetic problems.,4,2,,2,,2,23,6,English,United States,
